short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club,league,nationality,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed
Morientes,Fernando Morientes,"ST, CF",89,0,48,05-04-1976,,,Hero,,Spain,84,90,77,83,45,86,,,,,,
Völler,Rudi Völler,"ST, CF",89,0,64,13-04-1960,,,Hero,,Germany,89,90,76,86,47,85,,,,,,
Papin,Jean-Pierre Papin,"ST, CF",89,0,60,05-11-1963,,,Hero,,Frane,83,93,73,83,44,76,,,,,,
Abedi Pelé,Abedi Pelé,"CAM, LM, CF",89,0,59,05-11-1964,,,Hero,,Ghana,91,83,87,91,48,66,,,,,,
Ginola,David Ginola,"LM, CAM, ST",89,0,57,25-01-1967,,,Hero,,Frane,90,88,87,91,55,84,,,,,,
Vialli,Gianluca Vialli,"ST, CF",89,0,60,09-07-1964,,,Hero,,Italy,86,89,72,83,42,79,,,,,,
Kohler,Jürgen Kohler,CB,89,0,58,06-10-1965,,,Hero,,Germany,71,51,63,62,91,90,,,,,,
Lúcio,Lucimar Ferreira da Silva,CB,89,0,46,08-05-1978,,,Hero,,Brazil,82,72,74,77,91,89,,,,,,
Okocha,Augustine Azuka Okocha,"CAM, RM",88,0,51,14-08-1973,,,Hero,,Nigeria,87,83,83,93,40,60,,,,,,
Ricardo Carvalho,Ricardo Carvalho,CB,88,0,46,18-05-1978,,,Hero,,Portugal,77,56,71,73,91,82,,,,,,
Lizarazu,Bixente Lizarazu,"LWB, LB",88,0,54,09-12-1969,,,Hero,,Frane,87,59,80,82,83,82,,,,,,
Litmanen,Jari Litmanen,"CAM, CM",88,0,53,20-02-1971,,,Hero,,Finland,82,87,83,83,35,65,,,,,,
Márquez,Rafael Márquez,"CB, CDM",88,0,45,13-02-1979,,,Hero,,Mexico,74,65,75,74,90,88,,,,,,
Di Natale,Antonio Di Natale,"ST, CF",88,0,46,13-10-1977,,,Hero,,Italy,90,91,85,90,46,70,,,,,,
Mascherano,Javier Mascherano,"CB, CDM",88,0,40,08-06-1984,,,Hero,,Argentina,76,55,76,75,89,86,,,,,,
Gomez,Mario Gómez,"ST, CF",88,0,39,10-07-1985,,,Hero,,Germany,83,90,73,82,43,83,,,,,,
Futre,Paulo Futre,"LW, LM",88,0,58,28-02-1966,,,Hero,,Portugal,93,81,80,93,37,58,,,,,,
Kompany,Vincent Kompany,CB,88,0,38,10-04-1986,,,Hero,,Belgium,80,60,68,70,90,86,,,,,,
Milito,Diego Milito,"ST, CF",88,0,45,12-06-1979,,,Hero,,Argentina,83,89,75,84,43,80,,,,,,
Forlán,Diego Forlán,"ST, CF, RW",88,0,45,19-05-1979,,,Hero,,Uruguay,86,90,79,85,55,76,,,,,,
Sneijder,Wesley Sneijder,"CAM, CM, LM",88,0,40,09-06-1984,,,Hero,,Netherlands,81,84,90,86,53,75,,,,,,
Tévez,Carlos Tévez,"ST, CF",88,0,40,05-02-1984,,,Hero,,Argentina,85,89,80,86,46,89,,,,,,
Francescoli,Enzo Francescoli,"CF, ST",88,0,62,12-11-1961,,,Hero,,Uruguay,86,88,83,90,44,72,,,,,,
Joe Cole,Joseph John Cole,"RW, RM, CAM",87,0,42,08-11-1981,,,Hero,,England,88,84,86,90,51,72,,,,,,
Rui Costa,Rui Manuel César Costa,CAM,87,0,52,29-03-1972,,,Hero,,Portugal,83,80,87,85,43,76,,,,,,
