short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club,league,nationality,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed
Endrick,Endrick Felipe Moreira de Sousa,CF,74,0,18,21-07-2006,,,Wonderkids,La Liga,Brazil,97,91,87,93,59,89,,,,,,
Bellingham,Jobe Bellingham,CM,74,0,19,23-09-2005,,,Wonderkids,Championship,England,91,85,96,95,82,73,,,,,,
Pavlović,Aleksandar Pavlović,CDM,74,0,20,03-05-2004,,,Wonderkids,Bundesliga,Germany,83,80,89,89,88,82,,,,,,
Brunner,Paris Josua Brunner,ST,74,0,18,15-02-2006,,,Wonderkids,Jupiler Pro League,Germany,89,93,86,87,69,86,,,,,,
Ouédraogo,Assan Ouédraogo,CM,74,0,18,09-05-2006,,,Wonderkids,Bundesliga,Germany,87,80,90,91,68,90,,,,,,
Kılıçsoy,Semih Kılıçsoy,ST,74,0,19,15-08-2005,,,Wonderkids,Super Lig,Turkey,88,86,78,89,69,88,,,,,,
Yoro,Leny Yoro,CB,74,0,18,13-11-2005,,,Wonderkids,Premier League,France,80,61,80,79,89,87,,,,,,
Yamal,Lamine Yamal,RW,74,0,17,13-07-2007,,,Wonderkids,La Liga,Spain,96,87,89,93,52,73,,,,,,
Pizarro,Damian Pizarro,ST,74,0,19,28-03-2005,,,Wonderkids,Serie A,Chile,96,86,79,85,63,84,,,,,,
Miley,Lewis Miley,CM,74,0,18,01-05-2006,,,Wonderkids,Premier League,England,87,81,87,89,82,84,,,,,,
Kayky,Kayky da Silva Chagas,RW,74,0,21,11-06-2003,,,Wonderkids,Eredivisie,Brazil,94,82,84,88,62,73,,,,,,
Lewis,Rico Lewis,RB,74,0,19,21-11-2004,,,Wonderkids,Premier League,England,94,60,82,95,89,82,,,,,,
Yıldız,Kenan Yıldız ,ST,74,0,19,04-05-2005,,,Wonderkids,Serie A,Turkey,88,90,89,90,50,89,,,,,,
López,Fermín López Marín,CM,74,0,21,11-05-2003,,,Wonderkids,La Liga,Spain,92,86,85,93,84,78,,,,,,
Drăguș,Denis Mihai Drăguș,ST,74,0,25,06-07-1999,,,Wonderkids,Super Lig,Romania,95,89,86,90,43,90,,,,,,
Roque,Vitor Roque,ST,74,0,19,28-02-2005,,,Wonderkids,La Liga,Brazil,93,91,82,88,72,84,,,,,,
Trafford,James Trafford,GK,74,0,21,10-10-2002,,,Wonderkids,Premier League,England,,,,,,,89,89,90,92,55,89
Cubarsí,Pau Cubarsí Paredes,CB,74,0,17,22-01-2007,,,Wonderkids,La Liga,Spain,87,59,78,86,88,85,,,,,,
Doué,Désiré Nonka-Maho Doué ,"LW, LM",74,0,19,03-05-2005,,,Wonderkids,Ligue 1,France,94,83,85,93,67,79,,,,,,
Echeverri,Claudio Echeverri,CDM,74,0,18,02-01-2006,,,Wonderkids,Liga Profesional,Argentina,98,86,88,89,56,73,,,,,,
Bobb,Oscar Bobb,RW,74,0,21,12-07-2003,,,Wonderkids,Premier League,Norway,94,82,82,89,69,78,,,,,,
Lavia,Roméo Lavia ,CDM,74,0,20,06-01-2004,,,Wonderkids,Premier League,Belgium,83,67,87,89,93,91,,,,,,
Mastantuono,Franco Mastantuono,CDM,74,0,17,14-08-2007,,,Wonderkids,Liga Profesional,Argentina,91,79,84,92,61,70,,,,,,
Kayode,Michael Olabode Kayode ,"RB, RWB",74,0,20,10-07-2004,,,Wonderkids,Serie A,Italy,87,58,76,89,92,85,,,,,,
Hato,Jorrel Hato,"LB, CB",74,0,18,07-03-2006,,,Wonderkids,Eredivisie,Netherlands,89,52,79,84,91,89,,,,,,
Huijsen,Dean Donny Huijsen Wijsmuller,CB,74,0,19,14-04-2005,,,Wonderkids,Premier League,Netherlands,89,51,76,87,93,90,,,,,,
